Hardware Vendor,Nodes,Form Factor,Result,ssj_ops @ 10% of target load,ssj_ops @ 90% of target load,ssj_ops @ 80% of target load,ssj_ops @ 70% of target load,ssj_ops @ 60% of target load,ssj_ops @ 50% of target load,ssj_ops @ 40% of target load,ssj_ops @ 30% of target load,ssj_ops @ 20% of target load,ssj_ops @ 10% of target load,Average watts @ 10% of target load,Average watts @ 90% of target load,Average watts @ 80% of target load,Average watts @ 70% of target load,Average watts @ 60% of target load,Average watts @ 50% of target load,Average watts @ 40% of target load,Average watts @ 30% of target load,Average watts @ 20% of target load,Average watts@10% of target load,Average watts @ active idle,Performance/power @ 10% of target load,Performance/power @ 90% of target load,Performance/power @ 80% of target load,Performance/power @ 70% of target load,Performance/power @ 60% of target load,Performance/power @ 50% of target load,Performance/power @ 40% of target load,Performance/power @ 30% of target load,Performance/power @ 20% of target load,Performance/power @ 10% of target load,# Cores,# Chips,# Cores Per Chip,Processor,DIMMS,Power Supply Details,Power Supply Rating (watts)
GIGA-BYTE TECHNOLOGY CO. LTD.,1,2U,18748,13000,117000,105000,89400,76200,65400,52200,39200,26100,13100,492,464,437,407,383,364,331,298,265,232,133,26421,25284,23953,21990,19883,17953,15765,13163,9830,5646,128,2,64,AMD EPYC 7742 2.25 GHz,16 x 16 GB,DELTA DPS-130AB-4 (P/N 25EP0-21300-D0S),130
H3C,1,2U,11654,34200,31300,27800,24200,20900,17400,13900,10500,696501,346448,252,230,204,174,158,144,129,115,102,88,40.1,13566,13637,13661,13895,13239,12098,10822,9054,6795,3935,44,2,22,Intel Xeon E5-2699 v4 2.20 GHz,8 x 8 GB,ASPOWER P/N 0213A05N,550
Hewlett Packard Enterprise,3,Blade,17076,32000,289000,257000,225000,193000,161000,128000,96400,64300,32100,1281,1216,1148,1082,1017,955,886,814,745,667,524,24964,23773,22389,20762,18929,16815,14499,11845,8633,4810,384,6,64,AMD EPYC 7702 2.0 GHz,16 x 16384 MB,Shared,0
Hewlett Packard Enterprise,2,Blade,1600,213000,193000,171000,15000,128000,107000,85600,64100,42800,21400,894,851,805,762,718,676,631,583,538,487,403,23831,22651,21245,19651,17891,15806,13562,1100,7951,4390,256,4,64,AMD EPYC 7702 2.0 GHz,16 x 16384 MB,Shared,0
Hewlett Packard Enterprise,4,Blade,17436,426000,385000,342000,30000,257000,214000,171000,128000,85600,42800,1687,1601,1506,1416,1327,1242,1150,1051,957,853,70,25259,24062,22742,21152,19352,17237,14883,12212,8937,5021,512,8,64,AMD EPYC 7702 2.0 GHz,16 x 16384 MB,Shared,0
Hewlett Packard Enterprise,4,Blade,17530,437000,395000,351000,307000,263000,22000,176000,132000,87800,43900,1721,1638,1553,1475,1395,1302,1180,1052,946,829,678,25409,24143,22622,20832,18881,16874,14887,12531,9280,5298,512,8,64,AMD EPYC 7742 2.25 GHz,16 x 16384 MB,Shared,0
Hewlett Packard Enterprise,1,1U,16226,55300,5000,44500,38900,33300,27800,22200,16700,11100,557513,231,222,212,203,194,183,168,149,129,113,79.5,23926,22568,21015,19195,17210,15218,13169,11205,8609,4943,64,1,64,AMD EPYC 7702P 2.0 GHz,8 x 16384 MB,1 x HPE 80W Flex Slot Titanium Hot Plug Low Halogen Power Supply Kit (865438-B21),80
Hewlett Packard Enterprise,1,1U,17349,58000,52400,46600,40800,35000,29200,23300,17500,11700,582648,230,218,207,195,185,175,164,150,129,114,78.7,25194,23995,22541,2090,18947,16635,14215,11684,9049,5111,64,1,64,AMD EPYC 7702P 2.0 GHz,8 x 16384 MB,HPE 80W Flex Slot Titanium Hot Plug Low Halogen Power Supply Kit (865438-B21),80
Hewlett Packard Enterprise,1,1U,15724,51400,46600,41400,36200,31100,25900,20700,15500,10300,517356,224,215,205,195,185,174,161,143,125,109,70.3,22950,21652,20190,18565,16824,14850,12815,10827,8254,4732,64,1,64,AMD EPYC 7702P 2.0 GHz,8 x 16384 MB,HPE 80W Flex Slot Titanium Hot Plug Low Halogen Power Supply Kit (865438-B21),80
Hewlett Packard Enterprise,1,1U,8083,21200,19200,17000,14900,12800,10600,849823,637862,424850,213195,181,170,161,153,145,136,127,116,105,92.3,61.7,11726,11299,10570,9735,8812,7797,6708,5502,4057,2310,32,1,32,AMD EPYC 7551P 2.0 GHz,8 x 16384 MB,HPE 80W Flex Slot Titanium Hot Plug Low Halogen Power Supply Kit (865438-B21),80
Hewlett Packard Enterprise,1,1U,11637,30300,27300,24300,21300,18200,15200,12200,908421,607240,302015,235,214,186,160,140,122,107,90.5,76.9,64.3,37.3,12854,12753,13064,1330,12978,12405,11392,1039,7896,4696,28,1,28,Intel Xeon Platinum 8280 2.70 GHz,6 x 8182 MB,HPE 80W Flex Slot Titanium Hot Plug Low Halogen Power Supply Kit (865438-B21),80
Hewlett Packard Enterprise,1,1U,12384,29400,26500,23600,20600,17700,14700,11800,884222,588997,294973,217,187,164,144,125,109,96.8,86.2,75.9,65,39.4,13586,14160,14352,14368,14207,13512,12184,10256,7760,4541,28,1,28,Intel Xeon Platinum 8280 2.70 GHz (Intel Turbo Boost Technology up to 4.0 GHz),6 x 8182 MB,HPE 80W Flex Slot Titanium Hot Plug Low Halogen Power Supply Kit (865438-B21),80
Hewlett Packard Enterprise,1,1U,11126,29600,26800,23800,20800,17800,14800,11900,889523,594972,297033,237,217,191,163,144,126,109,94.1,80.7,68.1,38.9,12518,12340,12445,12789,12415,11789,10855,9450,7374,4363,28,1,28,Intel Xeon Platinum 8180 2.50 GHz,6 x 8182 MB,HPE 80W Flex Slot Titanium Hot Plug Low Halogen Power Supply Kit (865438-B21),80
Hewlett Packard Enterprise,1,1U,11709,58000,52400,46500,40700,34900,29100,23300,17400,11600,581147,457,417,365,307,268,233,201,171,144,117,52.4,12699,12572,12752,13276,13033,12466,11575,10218,8106,4953,56,2,28,Intel Xeon Platinum 8180 2.50 GHz,12 x 8182 MB,HPE 80W Flex Slot Titanium Hot Plug Low Halogen Power Supply Kit (865438-B21),80
Hewlett Packard Enterprise,1,1U,11550,29900,27000,24000,21000,18100,15000,12000,898385,601396,30555,233,210,178,156,138,121,107,94.6,82.2,68.9,38.7,12840,12846,13477,13459,13101,12365,11174,9493,7314,4362,28,1,28,Intel Xeon Platinum 8180 2.50 GHz,6 x 8182 MB,DPS-80AB (865438-B21) 96%,80
Hewlett Packard Enterprise,1,1U,12488,58700,53000,47100,41200,35400,29400,23600,17700,11800,589575,448,404,339,287,247,213,186,162,140,116,50,1310,13127,13902,14324,14317,13836,12692,10883,8428,5066,56,2,28,Intel Xeon Platinum 8180 2.50 GHz,12 x 8182 MB,DPS-80AB (865438-B21) 96%,80
Hewlett Packard Enterprise,1,1U,12313,57800,52100,46300,40600,34800,29000,23200,17400,11600,581133,451,407,341,289,246,211,183,160,138,114,48.7,12825,12817,13592,14057,14152,13755,12665,10862,8432,5077,56,2,28,Intel Xeon Platinum 8180 2.50 GHz,12 x 8182 MB,DPS-80AB (865438-B21) 96%,80
Hewlett Packard Enterprise,1,1U,10118,31600,28500,25300,22100,18900,15800,12700,949976,629838,31504,276,248,218,188,162,145,133,118,101,83.7,45,11429,11485,11598,11771,11725,10870,9545,8043,6213,3765,36,2,18,Intel Xeon E5-2699 v3 2.30 GHz,8 x 8182 MB,HP 80W Flex Slot Titanium Hot Plug Power Supply Kit (720482-B21),80
Hewlett Packard Enterprise,1,2U,11540,57600,51900,46200,40400,34600,28900,23100,17300,11500,575883,461,419,366,308,271,237,203,173,145,118,49.3,12491,12390,12642,13103,12767,1220,11364,1026,7986,4872,56,2,28,Intel Xeon Platinum 8180 2.50 GHz,12 x 8182 MB,HPE 80W Flex Slot Titanium Hot Plug Low Halogen Power Supply Kit (865438-B21),80
Hewlett Packard Enterprise,1,2U,18294,111000,10000,89100,78000,66800,55700,44500,33400,22300,11100,423,401,378,355,333,314,292,261,228,199,163,26252,25022,23570,21958,2082,17774,15242,12788,9784,5585,128,2,64,AMD EPYC 7702 2.0 GHz,16 x 16384 MB,HPE 80W Flex Slot Titanium Hot Plug Low Halogen Power Supply Kit (865438-B21),80
Hewlett Packard Enterprise,1,2U,18051,107000,96500,85700,75000,64200,53600,42800,32100,21500,10700,422,401,378,357,335,311,280,248,221,197,111,25277,24055,22650,21027,19183,17230,15276,12958,9694,5420,128,2,64,AMD EPYC 7702 2.0 GHz,16 x 16384 MB,HPE 80W Flex Slot Titanium Hot Plug Low Halogen Power Supply Kit (865438-B21),80
Hewlett Packard Enterprise,1,2U,11140,42800,38500,34300,3000,25700,21400,17200,12900,854414,427894,295,269,246,218,199,184,172,160,148,137,88.3,14538,14347,13963,13726,12948,11614,9991,8041,5784,3124,64,2,32,AMD EPYC 7601 2.20 GHz,16 x 8192 MB,HPE 80W Flex Slot Titanium Hot Plug Low Halogen Power Supply Kit (865438-B21),80
Hewlett Packard Enterprise,1,2U,11044,43000,38700,34300,30100,25800,21500,17200,12900,859238,430149,298,271,248,220,199,193,179,165,150,136,81.1,14423,14244,13871,13706,12969,11110,9607,7817,5712,3174,64,2,32,AMD EPYC 7601 2.20 GHz,16 x 8192 MB,HPE 80W Flex Slot Titanium Hot Plug Low Halogen Power Supply Kit (865438-B21),80
Hewlett Packard Enterprise,1,2U,13022,116000,105000,93400,81700,70100,58400,46600,35000,23300,11700,849,740,632,548,474,409,358,315,272,227,103,13713,1420,14786,14913,14795,14267,1303,11095,8560,5143,112,4,28,Intel Xeon Platinum 8280 2.70 GHz (Intel Turbo Boost Technology up to 4.0 GHz),24 x 8192 MB,HPE 80W Flex Slot Titanium Hot Plug Low Halogen Power Supply Kit (865438-B21),80
Hewlett Packard Enterprise,1,2U,12045,12000,108000,96300,84200,72100,60200,48100,36100,24100,12000,942,849,733,619,538,467,401,340,281,229,90.1,12734,12747,13133,13598,13410,12883,11995,10605,8550,5266,112,4,28,Intel Xeon Platinum 8280 2.70 GHz,24 x 8192 MB,HPE 80W Flex Slot Titanium Hot Plug Low Halogen Power Supply Kit (865438-B21),80
Hewlett Packard Enterprise,1,2U,11463,116000,104000,92700,81100,69400,57900,46300,34700,23100,11600,942,854,743,623,545,476,410,348,290,236,88.6,12271,12197,12469,13028,12741,12175,11304,9987,7989,4910,112,4,28,Intel Xeon Platinum 8180 2.50 GHz,24 x 8192 MB,HPE DPS-80AB-35 A 96% (865438-B21),80
Hewlett Packard Enterprise,1,2U,12120,117000,106000,94100,82400,70600,58800,47100,35300,23500,11700,944,851,716,598,510,431,373,324,277,228,82.9,12424,12427,13151,13779,13845,13621,12614,10895,8498,5154,112,4,28,Intel Xeon Platinum 8180 2.50 GHz,24 x 8192 MB,HPE DPS-80AB-35 A 96% (865438-B21),80
Hewlett Packard Enterprise,1,2U,11662,113000,102000,90600,79300,68000,56700,45300,34000,22600,11300,936,847,706,592,510,438,378,329,281,232,88.9,12058,12044,12818,13381,13336,12958,11983,10334,8037,4871,112,4,28,Intel Xeon Platinum 8180 2.50 GHz,24 x 8192 MB,HPE DPS-80AB-35 A 96% (865438-B21),80
Hewlett Packard Enterprise,1,2U,8151,52200,47500,42200,36900,31600,26400,21100,15800,10600,527060,557,498,433,382,340,315,289,257,218,178,86.3,9376,9534,9735,9675,9302,8391,7309,6159,4853,2953,72,4,18,Intel Xeon E5-4669 v3 2.10 GHz,8 x 8192 MB,HPE 656364-B21,120
Hewlett Packard Enterprise,1,4U,11234,118000,106000,94500,82800,70900,59100,47300,35500,23700,11800,982,888,773,657,563,487,419,356,297,243,119,11990,11981,12226,12595,12601,12138,11310,9957,7979,4866,112,4,28,Intel Xeon Platinum 8280 2.70 GHz,24 x 16384 MB,HPE 160W Flex Slot Platinum Hot Plug Low Halogen Power Supply Kit 94% (830272-B21),160
Hewlett Packard Enterprise,1,4U,12132,115000,104000,92000,80500,69100,57400,46100,34600,23000,11500,894,796,663,575,495,427,376,331,289,243,123,12832,13013,13866,14011,13952,13441,12248,10430,7957,4745,112,4,28,Intel Xeon Platinum 8280 2.70 GHz (Intel Turbo Boost Technology up to 4.0 GHz),24 x 16384 MB,HPE 160W Flex Slot Platinum Hot Plug Low Halogen Power Supply Kit 94% (830272-B21),160
Hewlett Packard Enterprise,1,4U,11424,116000,105000,92800,81300,69600,58000,46400,34800,23200,11600,963,882,744,618,527,451,394,346,299,251,110,12028,11855,12476,13152,13212,12863,11775,1043,7761,4631,112,4,28,Intel Xeon Platinum 8180 2.50 GHz,24 x 8192 MB,HSTNS-PR62 (830272-B21),160
Hewlett Packard Enterprise,1,Tower,11611,59400,53500,47700,41700,35800,29800,23800,17800,11900,596719,474,428,373,318,278,241,207,175,147,122,56.8,12525,12513,12770,13131,12882,12348,1150,10168,8099,4910,56,2,28,Intel Xeon Platinum 8280 2.70 GHz,12 x 16384 MB,HPE 80W Flex Slot Titanium Hot Plug Low Halogen Power Supply Kit (865438-B21),80
Hewlett Packard Enterprise,1,Tower,12272,57400,51700,46000,40200,34600,28800,23000,17200,11500,575604,435,385,328,284,246,213,187,166,145,123,64.2,13193,13438,14052,14169,14025,13508,12272,10381,7937,4679,56,2,28,Intel Xeon Platinum 8280 2.70 GHz (Intel Turbo Boost Technology up to 4.0 GHz),12 x 16384 MB,HPE 80W Flex Slot Titanium Hot Plug Low Halogen Power Supply Kit (865438-B21),80
Hewlett Packard Enterprise,1,Tower,10916,56500,51000,45300,39600,34000,28300,22600,17000,11400,565772,471,428,370,314,279,246,215,185,156,129,59.4,11994,11898,12244,12613,12201,11523,10550,9173,7254,4399,56,2,28,Intel Xeon Platinum 8180 2.50 GHz,12 x 16384 MB,HPE 80W Flex Slot Titanium Hot Plug Low Halogen Power Supply Kit (865438-B21),80
Hewlett Packard Enterprise,1,Tower,11845,58000,52400,46600,40800,34900,29200,23300,17500,11600,583190,459,415,347,298,258,224,196,172,149,125,58.1,12625,12622,13432,13656,13496,13031,11875,10165,7825,4674,56,2,28,Intel Xeon Platinum 8180 2.50 GHz,12 x 16384 MB,DPS-80AB (865438-B21) 96%,80
Hewlett Packard Enterprise,5,7U,11215,288000,26000,231000,202000,173000,144000,115000,86600,57800,28800,2295,2030,1737,1522,1336,1177,1055,951,848,740,459,12540,12794,13307,13275,12961,12271,10939,9105,6810,3898,280,10,28,Intel Xeon Platinum 8280 2.70 GHz (Intel Turbo Boost Technology up to 4.0 GHz),12 x 16384 MB,N/A,0
Hewlett Packard Enterprise,4,7U,10975,231000,209000,185000,162000,139000,116000,92700,69500,46300,23100,1860,1647,1413,1245,1095,967,871,788,707,620,398,12432,12674,13123,13038,12711,11976,10651,8823,6545,3729,224,8,28,Intel Xeon Platinum 8280 2.70 GHz (Intel Turbo Boost Technology up to 4.0 GHz),12 x 16384 MB,N/A,0
Hewlett Packard Enterprise,3,7U,10580,173000,156000,139000,121000,104000,86600,69300,52100,34600,17400,1418,1258,1086,960,849,753,681,620,558,493,328,12188,12398,12758,12622,12238,11499,10188,8408,6214,3525,168,6,28,Intel Xeon Platinum 8280 2.70 GHz (Intel Turbo Boost Technology up to 4.0 GHz),12 x 16384 MB,N/A,0
Hewlett Packard Enterprise,2,7U,9936,116000,104000,92600,81000,69600,58000,46300,34800,23200,11600,982,876,760,679,603,540,491,450,409,365,257,11773,11908,12188,11938,11530,10746,9434,7734,5671,3173,112,4,28,Intel Xeon Platinum 8280 2.70 GHz (Intel Turbo Boost Technology up to 4.0 GHz),12 x 16384 MB,N/A,0
Hewlett Packard Enterprise,11,7U,11804,633000,572000,508000,445000,381000,317000,254000,191000,127000,63500,4975,4359,370,3223,2796,2433,2161,1929,170,1459,845,12733,13115,13728,13801,13636,13046,11758,9874,7471,4357,616,22,28,Intel Xeon Platinum 8280 2.70 GHz (Intel Turbo Boost Technology up to 4.0 GHz),12 x 16384 MB,N/A,0
Hewlett Packard Enterprise,10,7U,11754,576000,52000,462000,404000,346000,289000,231000,173000,116000,57800,4519,3973,3373,2936,2552,2224,1977,1767,1561,1339,779,12736,13083,13697,13758,13575,12972,11678,9794,7405,4315,560,20,28,Intel Xeon Platinum 8280 2.70 GHz (Intel Turbo Boost Technology up to 4.0 GHz),12 x 16384 MB,N/A,0
Hewlett Packard Enterprise,9,7U,11676,518000,468000,416000,363000,312000,26000,208000,156000,104000,51900,4073,3593,3045,2653,2310,2017,1797,1607,1420,1223,714,12716,13013,13649,13699,13493,12868,11561,9698,7314,4244,504,18,28,Intel Xeon Platinum 8280 2.70 GHz (Intel Turbo Boost Technology up to 4.0 GHz),12 x 16384 MB,N/A,0
Hewlett Packard Enterprise,8,7U,11603,46000,415000,369000,323000,277000,231000,185000,138000,92500,46100,3627,3194,2711,2366,2063,1806,1611,1443,1279,1104,658,12687,12998,13613,13646,13417,12767,11472,9594,7232,4179,448,16,28,Intel Xeon Platinum 8280 2.70 GHz (Intel Turbo Boost Technology up to 4.0 GHz),12 x 16384 MB,N/A,0
Hewlett Packard Enterprise,7,7U,11516,403000,364000,323000,283000,242000,202000,162000,121000,80700,40300,3182,2810,2382,2085,1820,1594,1423,1278,1135,982,585,12653,12938,13559,13561,13317,12665,11346,9480,7116,4108,392,14,28,Intel Xeon Platinum 8280 2.70 GHz (Intel Turbo Boost Technology up to 4.0 GHz),12 x 16384 MB,N/A,0
Hewlett Packard Enterprise,6,7U,11390,345000,311000,277000,242000,207000,173000,138000,104000,69100,34600,2736,2418,2057,180,1573,1380,1235,1111,990,859,518,12596,12854,13445,13439,13175,12520,11188,9327,6986,4028,336,12,28,Intel Xeon Platinum 8280 2.70 GHz (Intel Turbo Boost Technology up to 4.0 GHz),12 x 16384 MB,N/A,0
Hewlett Packard Enterprise,12,7U,11845,691000,624000,555000,485000,416000,347000,277000,208000,139000,69400,5384,4704,4027,3510,3056,2664,2360,2103,1854,1591,922,12832,13268,13770,13829,13619,13014,11743,9884,7486,4361,672,24,28,Intel Xeon Platinum 8280 2.70 GHz (Intel Turbo Boost Technology up to 4.0 GHz),12 x 16384 MB,N/A,0
Hewlett Packard Enterprise,12,Blade,11051,712000,643000,571000,50000,428000,357000,286000,214000,143000,71400,5938,5352,4645,3963,3460,3018,2620,2241,1898,1590,807,11994,1206,12302,12630,12382,11827,10912,9562,7526,4492,672,24,28,Intel Xeon Platinum 8280 2.70 GHz,12 x 16384 MB,N/A,0
Hewlett Packard Enterprise,11,Blade,11017,652000,589000,523000,458000,392000,327000,262000,196000,131000,65300,5431,4910,4269,3638,3174,2770,2404,2059,1745,1464,756,1204,11989,12245,12592,12353,11793,10880,9520,7489,4460,616,22,28,Intel Xeon Platinum 8280 2.70 GHz,12 x 16384 MB,N/A,0
Hewlett Packard Enterprise,10,Blade,10951,592000,534000,475000,415000,356000,297000,237000,178000,119000,59200,4940,4464,3894,3313,2899,2533,220,1889,1603,1347,70,11974,11956,12194,12535,12286,11709,10788,9425,7406,4397,560,20,28,Intel Xeon Platinum 8280 2.70 GHz,12 x 16384 MB,N/A,0
Hewlett Packard Enterprise,9,Blade,10897,532000,48000,427000,374000,32000,267000,214000,16000,107000,53400,4444,4024,3519,2990,2617,2293,1996,1716,1459,1231,645,11978,11937,12145,12493,12239,11642,10702,9334,7322,4340,504,18,28,Intel Xeon Platinum 8280 2.70 GHz,12 x 16384 MB,N/A,0
Hewlett Packard Enterprise,8,Blade,10825,473000,427000,38000,332000,284000,237000,19000,142000,94900,47400,3958,3588,3130,2664,2339,2053,1789,1541,1314,1110,598,11947,11899,12129,12457,12162,11551,10599,9233,7219,4273,448,16,28,Intel Xeon Platinum 8280 2.70 GHz,12 x 16384 MB,N/A,0
Hewlett Packard Enterprise,7,Blade,10762,414000,374000,333000,29000,249000,208000,166000,125000,83200,41500,3472,3145,2751,2341,2058,1808,1579,1364,1167,990,535,11920,11878,12104,12408,12098,11480,10516,9129,7127,4190,392,14,28,Intel Xeon Platinum 8280 2.70 GHz,12 x 16384 MB,N/A,0
Hewlett Packard Enterprise,6,Blade,10684,355000,321000,285000,249000,214000,178000,142000,107000,71200,35600,2980,2703,2368,2023,1780,1566,1369,1185,1016,864,477,11920,11862,12043,12327,12010,11373,10404,9027,7015,4123,336,12,28,Intel Xeon Platinum 8280 2.70 GHz,12 x 16384 MB,N/A,0
Hewlett Packard Enterprise,5,Blade,10552,296000,267000,237000,208000,178000,148000,119000,89100,59400,29700,2494,2265,1985,1701,1499,1323,1162,109,868,742,425,11874,11804,11963,12220,11892,11226,10231,8836,6842,403,280,10,28,Intel Xeon Platinum 8280 2.70 GHz,12 x 16384 MB,N/A,0
Hewlett Packard Enterprise,11,Other,10693,63000,569000,506000,443000,379000,316000,253000,19000,126000,63300,5402,4896,4117,3540,3079,2684,2379,2111,1851,1581,864,11658,11622,12297,1250,12322,11776,10644,8992,6831,403,616,22,28,Intel Xeon Platinum 8180 2.50 GHz,12 x 16384 MB,Shared,0
Hewlett Packard Enterprise,10,Other,10641,573000,517000,46000,402000,345000,287000,23000,172000,115000,57500,4918,4451,3741,3229,2816,2457,2179,1936,1699,1454,814,11657,11622,12292,12458,12244,1170,10554,8910,6758,3955,560,20,28,Intel Xeon Platinum 8180 2.50 GHz,12 x 16384 MB,Shared,0
Hewlett Packard Enterprise,9,Other,10541,515000,465000,413000,362000,31000,258000,207000,155000,103000,51600,4444,4022,3384,2927,2551,2232,1985,1766,1554,1332,746,11596,11566,12217,12356,12141,11571,10411,8768,6657,3874,504,18,28,Intel Xeon Platinum 8180 2.50 GHz,12 x 16384 MB,Shared,0
Hewlett Packard Enterprise,8,Other,10429,458000,413000,368000,321000,276000,23000,184000,138000,91900,46000,3971,3594,3038,2625,2295,207,1784,1590,1402,1211,695,11532,11501,12110,12239,12011,11440,10298,8663,6553,3797,448,16,28,Intel Xeon Platinum 8180 2.50 GHz,12 x 16384 MB,Shared,0
Hewlett Packard Enterprise,7,Other,10301,401000,362000,322000,282000,241000,201000,161000,121000,80500,40200,3497,3173,2683,2322,2031,1784,1586,1418,1254,1087,627,11464,11408,11995,12128,11879,11271,10144,8509,6417,3699,392,14,28,Intel Xeon Platinum 8180 2.50 GHz,12 x 16384 MB,Shared,0
Hewlett Packard Enterprise,6,Other,10203,343000,31000,275000,241000,206000,172000,138000,103000,68800,34400,2999,2724,2312,1999,1755,1541,1376,1233,1097,946,553,11435,11365,11913,12053,11764,11153,9995,8367,6270,3637,336,12,28,Intel Xeon Platinum 8180 2.50 GHz,12 x 16384 MB,Shared,0
Hewlett Packard Enterprise,5,Other,10237,286000,258000,229000,201000,172000,143000,115000,86100,57300,28600,2495,2266,1920,1658,1456,1281,1144,1024,905,782,466,11458,11390,11943,12116,11811,11190,1024,8412,6330,3662,280,10,28,Intel Xeon Platinum 8180 2.50 GHz,12 x 16384 MB,Shared,0
Hewlett Packard Enterprise,12,Other,10872,688000,621000,551000,483000,414000,345000,276000,207000,138000,69000,5816,5269,4417,3803,3303,2884,2553,2263,1982,1689,901,11825,11795,12485,12692,12532,11956,10805,9146,6960,4087,672,24,28,Intel Xeon Platinum 8180 2.50 GHz,12 x 16384 MB,Shared,0
Hewlett Packard Enterprise,6,Blade,12042,689000,622000,553000,484000,415000,345000,276000,207000,138000,69100,5409,4789,3995,3456,2982,2577,2274,2018,1765,1501,781,12744,12983,13840,13999,13903,13406,12148,10282,7833,4601,672,24,28,Intel Xeon Platinum 8280 2.70 GHz (Intel Turbo Boost Technology up to 4.0 GHz),24 x 16384 MB,N/A,0
Hewlett Packard Enterprise,5,Blade,11942,573000,517000,46000,402000,345000,287000,23000,173000,115000,57400,4503,3997,3343,2893,2501,2169,1916,1703,1493,1274,675,12734,12946,13762,13912,13791,13248,12012,10135,7703,4508,560,20,28,Intel Xeon Platinum 8280 2.70 GHz (Intel Turbo Boost Technology up to 4.0 GHz),24 x 16384 MB,N/A,0
Hewlett Packard Enterprise,4,Blade,11799,459000,414000,368000,322000,276000,23000,184000,138000,92000,45900,3611,3207,2688,2334,2025,1761,1562,1393,1227,1051,570,12703,12908,13688,13792,13622,13061,11786,9902,7503,4371,448,16,28,Intel Xeon Platinum 8280 2.70 GHz (Intel Turbo Boost Technology up to 4.0 GHz),24 x 16384 MB,N/A,0
Hewlett Packard Enterprise,3,Blade,11547,344000,311000,276000,241000,207000,173000,138000,103000,69100,34500,2731,2424,2045,1782,1552,1356,1207,1079,957,826,465,12601,12810,13488,13552,13332,12721,11432,9589,7224,4173,336,12,28,Intel Xeon Platinum 8280 2.70 GHz (Intel Turbo Boost Technology up to 4.0 GHz),24 x 16384 MB,N/A,0
Hewlett Packard Enterprise,2,Blade,10977,229000,207000,184000,161000,138000,115000,91900,68900,46000,22900,1864,1667,1411,1237,1084,954,857,773,692,603,361,12289,12401,13029,12989,12705,12041,10726,8916,6648,3803,224,8,28,Intel Xeon Platinum 8280 2.70 GHz (Intel Turbo Boost Technology up to 4.0 GHz),24 x 16384 MB,N/A,0
Hewlett Packard Enterprise,6,Blade,11179,711000,641000,571000,499000,428000,356000,285000,214000,143000,71300,5989,5401,4667,3940,3404,2946,2543,2171,1816,1505,679,11873,11873,12228,12664,12575,12102,11214,9852,7853,4735,672,24,28,Intel Xeon Platinum 8280 2.70 GHz,24 x 16384 MB,N/A,0
Hewlett Packard Enterprise,5,Blade,11074,591000,534000,474000,415000,356000,297000,237000,178000,119000,59200,4983,4502,3912,3304,2859,2482,2143,1835,1540,1279,592,11857,11855,12129,12556,12445,11947,11073,9687,7702,4631,560,20,28,Intel Xeon Platinum 8280 2.70 GHz,24 x 16384 MB,N/A,0
Hewlett Packard Enterprise,4,Blade,1107,473000,427000,38000,332000,285000,238000,19000,142000,95000,47500,3978,3602,3135,2655,2303,203,1737,1490,1260,1053,50,11897,11864,12117,12515,12381,11865,10940,9560,7543,4506,448,16,28,Intel Xeon Platinum 8280 2.70 GHz,24 x 16384 MB,N/A,0
Hewlett Packard Enterprise,3,Blade,10754,354000,319000,284000,248000,213000,177000,142000,106000,71000,35500,304,2722,2378,2023,1758,1536,1337,1154,981,828,421,11782,11725,11949,12277,12108,11556,10616,9229,7235,4291,336,12,28,Intel Xeon Platinum 8280 2.70 GHz,24 x 16384 MB,N/A,0
Hewlett Packard Enterprise,2,Blade,10349,237000,214000,19000,166000,143000,119000,95100,71400,47500,23800,2045,1859,1629,1394,1220,1077,942,821,706,604,330,11592,11504,11672,11944,11689,11039,1096,8697,6733,3936,224,8,28,Intel Xeon Platinum 8280 2.70 GHz,24 x 16384 MB,N/A,0
Hewlett Packard Enterprise,5,Other,10855,577000,52000,462000,405000,347000,289000,231000,173000,116000,57800,501,4514,3773,3218,2772,2392,2102,1857,1616,1369,664,11533,11528,12250,12581,12503,12091,10999,9335,7158,4221,560,20,28,Intel Xeon Platinum 8180 2.50 GHz,24 x 16384 MB,Shared,0
Hewlett Packard Enterprise,4,Other,10648,461000,416000,37000,324000,277000,231000,185000,139000,92400,46100,4030,3643,3064,2618,2259,1958,1725,1523,1330,1138,572,11436,11417,12072,12359,12278,11799,10718,9099,6948,4052,448,16,28,Intel Xeon Platinum 8180 2.50 GHz,24 x 16384 MB,Shared,0
Hewlett Packard Enterprise,3,Other,10373,345000,311000,277000,242000,207000,173000,138000,104000,69200,34600,3048,2764,2332,1989,1733,1510,1335,1192,1048,902,478,11319,11266,11869,12165,11969,11450,10369,8708,6596,3834,336,12,28,Intel Xeon Platinum 8180 2.50 GHz,24 x 16384 MB,Shared,0
Hewlett Packard Enterprise,2,Other,10323,231000,208000,185000,162000,139000,116000,92600,69500,46300,23100,2048,1858,1568,1337,1168,1017,904,797,701,603,326,11280,11208,11812,12120,11885,11374,10237,8716,6601,3839,224,8,28,Intel Xeon Platinum 8180 2.50 GHz,24 x 16384 MB,Shared,0
