Hardware Vendor,Nodes,Form Factor,Result,ssj_ops @ 10% of target load,ssj_ops @ 90% of target load,ssj_ops @ 80% of target load,ssj_ops @ 70% of target load,ssj_ops @ 60% of target load,ssj_ops @ 50% of target load,ssj_ops @ 40% of target load,ssj_ops @ 30% of target load,ssj_ops @ 20% of target load,ssj_ops @ 10% of target load,Average watts @ 10% of target load,Average watts @ 90% of target load,Average watts @ 80% of target load,Average watts @ 70% of target load,Average watts @ 60% of target load,Average watts @ 50% of target load,Average watts @ 40% of target load,Average watts @ 30% of target load,Average watts @ 20% of target load,Average watts@10% of target load,Average watts @ active idle,Performance/power @ 10% of target load,Performance/power @ 90% of target load,Performance/power @ 80% of target load,Performance/power @ 70% of target load,Performance/power @ 60% of target load,Performance/power @ 50% of target load,Performance/power @ 40% of target load,Performance/power @ 30% of target load,Performance/power @ 20% of target load,Performance/power @ 10% of target load,# Cores,# Chips,# Cores Per Chip,Processor,DIMMS,Power Supply Details,Power Supply Rating (watts)
Dell Inc.,1,1U,20184,111000,10000,89200,78100,66900,55800,44600,33500,22300,11200,404,382,358,331,305,280,258,236,214,188,81.6,27497,26323,24920,23574,21949,19910,17305,14173,10420,5938,128,2,64,AMD EPYC 7702 2.0 GHz,16 x 8 GB,80W Platinum Efficiency (450-AIQY),80
Dell Inc.,1,2U,10206,32500,29500,26000,22700,19500,16300,13000,974218,651757,32407,272,243,215,191,171,156,141,124,107,87.8,46.9,11952,12133,12065,11919,11413,10453,9225,7854,6115,3691,36,2,18,Intel Xeon E5-2699 v3 2.30 GHz,8 x 8192 MB,Dell p/n KNHJV,750
Dell Inc.,1,2U,11423,35100,31900,28200,24700,21200,17600,14100,10600,704701,351163,272,238,205,181,163,150,136,120,102,84.8,44.6,12898,13434,13737,13610,12954,11712,10365,8826,6899,4139,44,2,22,Intel Xeon E5-2699 v4 2.20 GHz,8 x 16 GB,Dell p/n KNHJV,750
Dell Inc.,1,2U,10802,33400,30400,26800,23400,20200,16800,13500,10100,670112,337218,269,236,205,182,166,152,138,122,105,88.4,44.9,12429,12852,13098,12844,12180,11040,9735,8263,6367,3815,44,2,22,Intel Xeon E5-2699 v4 2.20 GHz,8 x 16 GB,Dell p/n KNHJV,750
Dell Inc.,1,2U,11790,57300,51600,45900,40100,34400,28700,23000,17200,11400,573385,457,408,344,292,255,224,195,170,147,129,52.3,12541,12637,13337,13736,13487,12797,11753,10105,7770,4447,56,2,28,Intel Xeon Platinum 8180 2.50 GHz,12 x 16 GB,Dell p/n KNHJV,750
Dell Inc.,1,2U,12831,58100,52200,46500,40800,34900,29100,23300,17500,11700,580574,432,376,319,277,240,208,182,159,137,114,49.8,13454,13879,14556,14730,14569,14010,12809,10998,8519,5107,56,2,28,Intel Xeon Platinum 8280 2.70 GHz,12 x 16 GB,750W Titanium Dell SKU [450-ADWU],750
Dell Inc.,1,2U,11867,43700,39600,35200,30800,26400,22000,17600,13200,879965,439459,268,253,237,218,20,184,170,157,144,128,77.5,16337,15658,14889,14105,13193,11943,10330,840,6112,3425,64,2,32,AMD EPYC 7601 2.20 GHz,16 x 8 GB,Dell SKU [450-ADWR],750
Dell Inc.,1,2U,11064,43800,39600,35200,30800,26400,21900,17600,13200,876211,439432,287,271,253,234,214,197,182,168,154,138,84.9,15238,14597,13888,13150,12312,11153,9656,7847,5692,3195,64,2,32,AMD EPYC 7601 2.20 GHz,16 x 8 GB,Dell p/n Y26KX,110
Dell Inc.,1,2U,16501,56800,51200,45500,39900,34100,28500,22800,17100,11400,566487,246,236,220,205,186,164,151,141,130,117,99.5,23090,21739,20684,19473,18308,17357,15055,12102,8732,4830,64,1,64,AMD EPYC 7742 2.25 GHz,8 x 16 GB,750W Titanium Dell SKU [450-ADWU],750
Dell Inc.,1,2U,20910,111000,10000,89300,78000,67000,55800,44700,33400,22300,11200,393,370,347,321,294,270,250,229,207,181,72.3,28320,27151,25722,24308,22774,20683,17896,14625,10780,6166,128,2,64,AMD EPYC 7702 2.0 GHz,16 x 8 GB,80W Platinum Efficiency (450-AJEW),80
Dell Inc.,1,2U,11064,70600,64000,56400,49600,42500,35400,28400,21200,14100,706189,562,483,421,377,340,315,287,253,215,181,86.4,12581,13253,13416,13152,12486,11249,9901,8376,6567,3912,88,4,22,Intel Xeon E5-4669 v4 2.20 GHz,16 x 16 GB,Dell p/n 95HR5,160
Dell Inc.,1,2U,11962,114000,102000,91100,79700,68200,56900,45600,34100,22700,11400,923,822,689,575,496,430,374,326,280,232,85.6,12305,12465,13214,13864,13754,13254,12182,10472,8129,4922,112,4,28,Intel Xeon Platinum 8180 2.50 GHz,24 x 16 GB,Dell SKU 450-AFMR,160
